,ISIN,RIC,data,model,optimization,process
0,FR0000073272,SAF.PA,OHLCV,CNN,True,True
1,FR0000073272,SAF.PA,OHLCV,LSTM,True,True
2,FR0000073272,SAF.PA,OHLCV,CNN_LSTM,True,True
3,FR0000073272,SAF.PA,FOB,CNN,0,False
4,FR0000073272,SAF.PA,FOB,LSTM,0,False
5,FR0000073272,SAF.PA,FOB,CNN_LSTM,0,False
6,FR0000073272,SAF.PA,OHLCV_FOB,CNN,0,False
7,FR0000073272,SAF.PA,OHLCV_FOB,LSTM,0,False
8,FR0000073272,SAF.PA,OHLCV_FOB,CNN_LSTM,0,False
9,FR0000120271,TTEF.PA,OHLCV,CNN,0,False
10,FR0000120271,TTEF.PA,OHLCV,LSTM,0,False
11,FR0000120271,TTEF.PA,OHLCV,CNN_LSTM,0,False
12,FR0000120271,TTEF.PA,FOB,CNN,True,running
13,FR0000120271,TTEF.PA,FOB,LSTM,0,False
14,FR0000120271,TTEF.PA,FOB,CNN_LSTM,0,False
15,FR0000120271,TTEF.PA,OHLCV_FOB,CNN,0,False
16,FR0000120271,TTEF.PA,OHLCV_FOB,LSTM,0,False
17,FR0000120271,TTEF.PA,OHLCV_FOB,CNN_LSTM,0,False
18,FR0000120321,OREP.PA,OHLCV,CNN,0,False
19,FR0000120321,OREP.PA,OHLCV,LSTM,0,False
20,FR0000120321,OREP.PA,OHLCV,CNN_LSTM,0,False
21,FR0000120321,OREP.PA,FOB,CNN,0,False
22,FR0000120321,OREP.PA,FOB,LSTM,0,False
23,FR0000120321,OREP.PA,FOB,CNN_LSTM,0,False
24,FR0000120321,OREP.PA,OHLCV_FOB,CNN,0,False
25,FR0000120321,OREP.PA,OHLCV_FOB,LSTM,0,False
26,FR0000120321,OREP.PA,OHLCV_FOB,CNN_LSTM,0,False
27,FR0000120578,SASY.PA,OHLCV,CNN,0,False
28,FR0000120578,SASY.PA,OHLCV,LSTM,0,False
29,FR0000120578,SASY.PA,OHLCV,CNN_LSTM,0,False
30,FR0000120578,SASY.PA,FOB,CNN,0,False
31,FR0000120578,SASY.PA,FOB,LSTM,0,False
32,FR0000120578,SASY.PA,FOB,CNN_LSTM,0,False
33,FR0000120578,SASY.PA,OHLCV_FOB,CNN,0,False
