,file,isin,type,state,allocate
0,XPAR_SHARES_F2_20231002.csv.zip,FR0000073272,LOB,Processed,
1,XPAR_SHARES_F2_20231002.csv.zip,FR0000120271,LOB,Pending,
2,XPAR_SHARES_F2_20231002.csv.zip,FR0000120321,LOB,Pending,
3,XPAR_SHARES_F2_20231002.csv.zip,FR0000120578,LOB,Pending,
4,XPAR_SHARES_F2_20231002.csv.zip,FR0000120693,LOB,Pending,
5,XPAR_SHARES_F2_20231002.csv.zip,FR0000121329,LOB,Pending,
6,XPAR_SHARES_F2_20231002.csv.zip,FR0000121485,LOB,Pending,
7,XPAR_SHARES_F2_20231002.csv.zip,FR0000121972,LOB,Pending,
8,XPAR_SHARES_F2_20231002.csv.zip,FR0000124141,LOB,Pending,
9,XPAR_SHARES_F2_20231002.csv.zip,FR0000125007,LOB,Pending,
10,XPAR_SHARES_F2_20231002.csv.zip,FR0000125486,LOB,Pending,
11,XPAR_SHARES_F2_20231002.csv.zip,FR0000130577,LOB,Pending,
12,XPAR_SHARES_F2_20231002.csv.zip,FR0000130809,LOB,Pending,
13,XPAR_SHARES_F2_20231002.csv.zip,FR0000131906,LOB,Pending,
14,XPAR_SHARES_F2_20231002.csv.zip,FR0010908533,LOB,Pending,
15,XPAR_SHARES_F2_20231002.csv.zip,FR0011981968,LOB,Pending,
16,XPAR_SHARES_F2_20231002.csv.zip,FR0014003TT8,LOB,Pending,
17,XPAR_SHARES_F2_20231002.csv.zip,NL0000226223,LOB,Pending,
18,XPAR_SHARES_F2_20231002.csv.zip,NL00150001Q9,LOB,Pending,
19,XPAR_SHARES_F2_20231002.csv.zip,FR0000073272,FO,Processed,
20,XPAR_SHARES_F2_20231002.csv.zip,FR0000120271,FO,Pending,
21,XPAR_SHARES_F2_20231002.csv.zip,FR0000120321,FO,Pending,
22,XPAR_SHARES_F2_20231002.csv.zip,FR0000120578,FO,Pending,
23,XPAR_SHARES_F2_20231002.csv.zip,FR0000120693,FO,Pending,
24,XPAR_SHARES_F2_20231002.csv.zip,FR0000121329,FO,Pending,
25,XPAR_SHARES_F2_20231002.csv.zip,FR0000121485,FO,Pending,
26,XPAR_SHARES_F2_20231002.csv.zip,FR0000121972,FO,Pending,
27,XPAR_SHARES_F2_20231002.csv.zip,FR0000124141,FO,Pending,
28,XPAR_SHARES_F2_20231002.csv.zip,FR0000125007,FO,Pending,
29,XPAR_SHARES_F2_20231002.csv.zip,FR0000125486,FO,Pending,
30,XPAR_SHARES_F2_20231002.csv.zip,FR0000130577,FO,Pending,
31,XPAR_SHARES_F2_20231002.csv.zip,FR0000130809,FO,Pending,
32,XPAR_SHARES_F2_20231002.csv.zip,FR0000131906,FO,Pending,
33,XPAR_SHARES_F2_20231002.csv.zip,FR0010908533,FO,Pending,
34,XPAR_SHARES_F2_20231002.csv.zip,FR0011981968,FO,Pending,
35,XPAR_SHARES_F2_20231002.csv.zip,FR0014003TT8,FO,Pending,
36,XPAR_SHARES_F2_20231002.csv.zip,NL0000226223,FO,Pending,
37,XPAR_SHARES_F2_20231002.csv.zip,NL00150001Q9,FO,Pending,
